summonerId,summonerLevel,tier,rank,leaguePoints,plays,wins,mostPositionId,mostPosition,mostChampionIds
UAqILQH15STPQV0a7bc85c5arzz1PpafXeDft9a_Y1O20tY,663,CHALLENGER,I,1127,703,383,4,BOTTOM,"[145, 523, 498, 235, 429]"
2mh0KW8PNpsWDz6GSEvqZsQylJS9btC-sJGjD3Xm-jkqg3B_u5hAttwF2g,336,CHALLENGER,I,1127,696,369,4,BOTTOM,"[526, 110, 145, 429, 18]"
olEAgJsnAwqN0X3uJhNBC3MUf2F1oRylf_5MC3yo1POaJpPi1Az5nnCJ0Q,210,CHALLENGER,I,1127,373,208,3,MIDDLE,"[777, 157, 246, 18, 53]"
d2nFb833rePwMZuw5KwIdlf0x6l7VL07bO10cdknLVCMQ14,690,CHALLENGER,I,1126,397,223,3,MIDDLE,"[79, 126, 84, 64, 266]"
Ef_W0vkUQ17wmfJt5aPwAkmFuY0aMuVM70QtQemZD2An2uQ,489,CHALLENGER,I,1126,329,187,2,JUNGLE,"[64, 104, 78, 59, 526]"
ZPfSwYziDyEisxNezUMPynTbRZwFldU17IPxLediwDU_nFM,295,CHALLENGER,I,1119,468,264,3,MIDDLE,[238]
X1EROhIBdcf9G8xjXlElFLXt1l_Bqy06rlWUQEWwxNcFdXoFuH3NHDNtQA,205,CHALLENGER,I,1118,682,373,1,TOP,"[266, 68, 126, 150, 84]"
sL5VazZGUqjBl8JhziEs4cBsRgh0M6_hbuGHQ3cdxNGEjVWbLN2Bf_NloA,220,CHALLENGER,I,1117,1024,542,4,BOTTOM,"[119, 145, 222, 110, 18]"
Zwhekml_JFHll8PR4GpilggtkaNzuPMyX1OvqTawej2xiCk,419,CHALLENGER,I,1115,292,173,4,BOTTOM,"[145, 498, 81, 110, 429]"
JkK9OzBUPi1KOObUjYGNO1GDeI8bO8Md0aEPp2UCaJrUvR3XrB4xBMZpng,258,CHALLENGER,I,1114,1050,551,1,TOP,"[133, 7, 17, 85, 13]"
7SejN62VYO8rmnyGs9TffGKDjqBBbhzavkalWJkjef3UZofZ8N08C_cFzw,248,CHALLENGER,I,1113,601,327,1,TOP,"[897, 68, 24, 266, 58]"
ENzQz6y_rOdnW2c-N7l8pRzlZpIDEXyJx6CwCIJHm22fgtVYUo8UOfRIPw,114,CHALLENGER,I,1112,510,279,5,UTILITY,"[497, 518, 526, 53, 111]"
t1sBTK58i7c0u_ORvI9B-sZ1xhGyRsPGZqg7eSWsg20kVw0q,236,CHALLENGER,I,1110,447,251,4,BOTTOM,"[523, 498, 145, 119, 429]"
GsU_FfF8nNhsQrmUz8X3-A5f6pwEXVrpCU-N3XvxgWONVntDc08Xygk1fw,119,CHALLENGER,I,1109,653,372,4,BOTTOM,"[145, 81, 360, 115, 498]"
EoNE4eQPpVqD_CShmz0jPwzR2msgSoOyoW-F_FiNpXRLuk8,241,CHALLENGER,I,1107,343,198,2,JUNGLE,"[163, 104, 76, 234, 429]"
4Hmie8XQppfX_s1GO_AtDEd3ilECBGGzpq1HGhxWG0C1DZU,405,CHALLENGER,I,1106,711,384,3,MIDDLE,"[84, 7, 126, 517, 18]"
jWIuL72kb555amVYc-NM5Ar3dC6-9VVKUKxyJs-Pjs7tDRo,737,CHALLENGER,I,1103,708,377,3,MIDDLE,"[166, 142, 7, 234, 711]"
1Zj88TkGv2ak4nGj74PK7ariA-7RcfCNIZSaVt-LHmd5ZOc,274,CHALLENGER,I,1101,370,212,1,TOP,"[68, 24, 114, 266, 79]"
DXCafCYOoTi_6vOgEWD9T0GJUe7QrRnFwOBVWXOv4fnbEdc,596,CHALLENGER,I,1101,1430,746,2,JUNGLE,"[64, 59, 526, 104, 234]"
