summonerId,gameCreatedAt,gameDuration,assists,CSperMinute,baronKills,bountyLevel,champExperience,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,deaths,detectorWardsPlaced,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,kills,lane,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,timePlayed,totalMinionsKilled,totalTimeSpentDead,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-22T11:42:56.000Z,1832,3,6.255458515283842,0,0,13736,15,84,akali,1160,2120,1160,3,4,0,False,False,False,False,10185,9915,MIDDLE,0,0,1,2031,3152,2055,3020,3108,4645,3364,7,MIDDLE,0,0,1,0,0,0,SOLO,0,158,32,94,16,4,12,2,4,1548,191,80,0,0,8,0,31,6,6,8,False
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-22T10:57:52.000Z,1941,5,3.894899536321484,0,1,8876,12,517,sylas,2744,2744,2744,1,2,0,False,True,False,False,7320,6000,MIDDLE,0,0,0,3158,6656,0,3145,2424,1082,3364,5,NONE,0,0,0,0,0,0,SUPPORT,0,51,47,100,11,3,12,2,4,963,126,32,1,1,1,0,9,2,1,5,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-22T10:20:47.000Z,1795,3,5.816155988857939,0,12,12982,14,126,jayce,10602,11318,10602,0,5,0,False,True,True,False,12458,11205,TOP,0,0,0,2420,2055,3142,3158,3179,3042,3364,12,NONE,12,0,0,0,0,0,SUPPORT,0,109,76,73,117,4,12,3,4,1131,174,0,4,5,2,0,21,6,3,9,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-19T18:00:20.000Z,925,11,19.45945945945946,0,3,23213,18,777,yone,2787,17009,2787,5,5,0,False,False,False,False,18164,17475,TOP,0,0,0,3181,6631,3143,3026,3153,3006,3364,12,TOP,27,0,0,0,0,0,SOLO,0,431,108,123,12,4,12,4,4,2093,300,131,1,2,3,0,39,5,8,13,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-18T17:33:34.000Z,1230,11,13.121951219512194,0,0,20346,18,517,sylas,3738,9498,3738,6,6,0,False,False,False,False,15234,14350,MIDDLE,1,1,0,0,6656,3157,3135,3158,3089,3364,7,MIDDLE,0,0,0,0,0,0,SOLO,0,122,71,276,40,7,12,4,4,2021,269,183,1,2,5,0,39,6,9,10,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-18T15:58:14.000Z,1935,4,6.232558139534884,0,11,15758,16,84,akali,7028,9421,7028,2,4,0,False,False,False,True,15851,14200,MIDDLE,0,0,0,3041,3152,2421,3111,3089,4645,3364,15,TOP,8,0,0,0,0,0,DUO,0,183,37,103,13,5,12,3,4,1632,201,34,4,5,3,0,20,4,3,6,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-18T15:27:23.000Z,1411,6,5.570517363571935,0,2,9008,12,85,kennen,2821,2821,2821,3,2,0,True,False,False,False,7888,7185,TOP,0,0,0,1052,3152,2421,1055,3020,3108,3364,5,NONE,0,0,0,0,0,0,SUPPORT,0,74,25,75,4,2,12,3,4,1021,131,50,1,1,1,0,16,2,3,7,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-18T14:59:13.000Z,967,7,17.00103412616339,0,0,20305,18,517,sylas,4897,5144,4897,10,5,0,False,False,False,False,18735,18875,MIDDLE,0,0,0,3089,6656,3157,3135,3020,4645,3364,12,MIDDLE,8,0,0,1,0,0,DUO,0,129,77,269,46,4,12,7,4,2106,274,316,1,3,7,0,21,5,3,7,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-18T14:32:47.000Z,1171,7,7.839453458582408,0,0,13103,15,85,kennen,2078,3885,2078,4,3,0,False,False,False,False,9354,8475,TOP,0,0,0,3020,3152,2031,3135,1082,0,3364,6,JUNGLE,0,0,0,0,0,0,NONE,0,119,49,116,8,4,12,3,4,1541,153,141,1,1,5,0,22,3,6,8,False
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-14T17:27:57.000Z,1809,3,8.159203980099504,0,1,16925,17,84,akali,5276,7959,5276,6,4,0,False,False,False,False,12878,12200,MIDDLE,0,0,1,4645,3152,0,3111,3089,1082,3364,7,MIDDLE,0,0,1,0,0,0,SOLO,0,182,38,104,22,5,12,3,4,2017,246,170,2,2,10,0,27,4,5,7,False
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-14T15:46:57.000Z,924,10,18.051948051948052,0,0,19768,18,84,akali,4205,4749,4205,4,2,0,False,False,False,False,17176,16400,MIDDLE,0,0,0,3089,3152,3157,3020,1058,3135,3364,8,MIDDLE,4,0,0,0,0,0,SOLO,0,209,46,108,22,6,12,2,4,2117,278,153,2,2,7,0,22,2,4,5,False
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-14T15:03:32.000Z,1479,7,7.505070993914808,0,3,16100,16,517,sylas,7200,16803,7200,4,5,0,True,False,False,False,19310,16785,MIDDLE,1,2,0,3135,6656,3157,3041,3089,3111,3364,23,MIDDLE,19,0,0,0,1,0,SOLO,0,105,71,254,26,6,12,5,4,1867,185,146,3,3,3,0,31,5,10,7,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-14T14:15:58.000Z,1619,6,10.117356392835083,0,0,18070,17,777,yone,2223,9475,2223,6,6,0,False,False,False,False,16750,15285,MIDDLE,0,0,2,3181,3156,2421,3006,3031,6672,3364,10,TOP,20,0,0,0,0,0,DUO,0,318,91,101,10,3,12,4,4,1752,273,170,1,1,8,0,38,7,10,10,False
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-14T12:12:17.000Z,2278,10,4.451273046532045,0,2,12109,14,4,twistedfate,2298,2298,2298,3,3,0,False,False,False,False,10456,8925,MIDDLE,0,0,0,3086,6656,2033,3158,1082,3100,3364,3,MIDDLE,0,0,0,0,0,0,SOLO,0,89,169,0,14,6,12,5,4,1274,169,99,2,3,0,0,19,3,5,4,True
mlxn5B82fbdtrgO2E1wOCG3T6peSNgYATJdhF9R3R974TKg,2023-12-14T11:36:47.000Z,1518,2,4.703557312252964,0,0,7412,11,84,akali,262,2940,262,5,1,0,False,False,False,False,6116,5075,MIDDLE,0,0,0,1054,3152,2031,0,0,3020,3364,2,NONE,0,0,0,0,0,0,SUPPORT,0,98,25,36,7,2,12,2,4,933,119,94,1,1,2,0,10,1,1,5,False
